date,obs_count
2026-03-30,481
2026-03-31,555
2026-04-01,435
2026-04-02,819
2026-04-03,450
2026-04-04,841
2026-04-05,553
2026-04-06,721
2026-04-07,782
2026-04-08,691
2026-04-09,761
2026-04-10,1059
2026-04-11,770
2026-04-12,1186
2026-04-13,936
2026-04-14,420
2026-04-15,529
2026-04-16,458
2026-04-17,681
2026-04-18,1140
2026-04-19,1716
2026-04-20,890
2026-04-21,815
2026-04-22,535
2026-04-23,859
2026-04-24,937
2026-04-25,764
2026-04-26,1084
2026-04-27,980
2026-04-28,532
2026-04-29,809
2026-04-30,737
2026-05-01,763
2026-05-02,974
2026-05-03,748
2026-05-04,1093
2026-05-05,747
2026-05-06,1140
2026-05-07,515
2026-05-08,1150
2026-05-09,1715
2026-05-10,1516
2026-05-11,874
2026-05-12,701
2026-05-13,600
2026-05-14,425
2026-05-15,617
2026-05-16,964
2026-05-17,838
2026-05-18,953
2026-05-19,482
2026-05-20,532
2026-05-21,461
2026-05-22,619
2026-05-23,1068
2026-05-24,1052
2026-05-25,680
2026-05-26,750
2026-05-27,517
2026-05-28,979
2026-05-29,486
2026-05-30,1372
2026-05-31,765
2026-06-01,804
2026-06-02,850
2026-06-03,552
2026-06-04,1137
2026-06-05,842
2026-06-06,1346
2026-06-07,901
2026-06-08,967
2026-06-09,686
2026-06-10,438
2026-06-11,477
2026-06-12,328
2026-06-13,575
